Companies,Categories,City,Country,Customer Name,Market,Customer ID,Order Date,Year (OrderDate),Order ID,Order Priority,Product ID,Region,Segment,State,Discount,Profit,Sales,Shipping Cost,Target Sales
Baker Skateboard,The Carve Skateboard,Los Angeles,United States,Lycoris Saunders,USCA,LS-172304,07/01/2012,2012,CA-2011-130813,High,OFF-PA-10002005,West,Consumer,California,0,9.3312,19.4,4.37,28.7712
Girl skateboard,Classic Longboard Skateboard,Los Angeles,United States,Mark Van Huff,USCA,MV-174854,21/01/2012,2012,CA-2011-148614,Medium,OFF-PA-10002893,West,Consumer,California,0,9.2928,19.4,0.94,28.6528
Element Skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Chad Sievert,USCA,CS-121304,05/08/2012,2012,CA-2011-118962,Medium,OFF-PA-10000659,West,Consumer,California,0,9.8418,20.9,1.81,11.0982
zero skateboard,Electric Skateboard,Los Angeles,United States,Chad Sievert,USCA,CS-121304,05/08/2012,2012,CA-2011-118962,Medium,OFF-PA-10001144,West,Consumer,California,0,53.2608,111,4.59,164.2208
real skateboard,The Carve Skateboard,Los Angeles,United States,Arthur Prichep,USCA,AP-109154,29/09/2012,2012,CA-2011-146969,High,OFF-PA-10002105,West,Consumer,California,0,3.1104,6.5,1.32,9.5904
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,Jeremy Farry,USCA,JF-154904,19/10/2012,2012,CA-2011-117317,Critical,OFF-PA-10004519,West,Consumer,California,0,6.5856,13.4,2.39,6.8544
Santa cruz skateboard,The Carve Skateboard,Los Angeles,United States,William Brown,USCA,WB-218504,04/11/2012,2012,CA-2011-125829,Medium,OFF-PA-10000223,West,Consumer,California,0,9.3312,19.4,1.15,28.7712
Chocolate skateboard,Classic Longboard Skateboard,Los Angeles,United States,Joseph Airdo,USCA,JA-159704,12/11/2012,2012,CA-2011-151295,High,OFF-PA-10001947,West,Consumer,California,0,5.8604,12,0.92,17.8204
Toy machine skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Susan Pistek,USCA,SP-209204,22/11/2012,2012,CA-2011-135090,High,OFF-PA-10002245,West,Consumer,California,0,24.219,53.8,6.98,78.039
Alien workshop,Electric Skateboard,Los Angeles,United States,Rob Lucas,USCA,RL-196154,05/12/2012,2012,CA-2011-133830,Medium,OFF-PA-10001363,West,Consumer,California,0,23.0864,49.1,1.99,26.0336
Baker Skateboard,Electric Skateboard,Los Angeles,United States,Katherine Ducich,USCA,KD-163454,13/12/2012,2012,CA-2011-113579,High,OFF-PA-10001457,West,Consumer,California,0,41.5104,90.2,8.53,48.7296
Girl skateboard,The Carve Skateboard,Los Angeles,United States,Justin MacKendrick,USCA,JM-161954,15/02/2013,2013,CA-2012-116092,Medium,OFF-PA-10004285,West,Consumer,California,0,6.4128,13.4,1,6.9472
Element Skateboard,Classic Longboard Skateboard,Los Angeles,United States,Justin MacKendrick,USCA,JM-161954,15/02/2013,2013,CA-2012-116092,Medium,OFF-PA-10000477,West,Consumer,California,0,9.3312,19.4,0.06,28.7712
zero skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Rob Dowd,USCA,RD-195854,16/02/2013,2013,CA-2012-121776,High,OFF-PA-10001970,West,Consumer,California,0,17.3148,36.8,4.04,54.1548
real skateboard,Electric Skateboard,Los Angeles,United States,Alan Barnes,USCA,AB-101654,28/03/2013,2013,CA-2012-131534,Medium,OFF-PA-10000743,West,Consumer,California,0,16.032,33.4,2.25,17.368
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,Andy Reiter,USCA,AR-105404,11/04/2013,2013,US-2012-136987,Medium,OFF-PA-10003127,West,Consumer,California,0,24.2696,52.8,1.59,77.0296
Santa cruz skateboard,The Carve Skateboard,Los Angeles,United States,Logan Haushalter,USCA,LH-171554,19/06/2013,2013,CA-2012-121965,Medium,OFF-PA-10004355,West,Consumer,California,0,3.1104,6.5,0.52,3.3696
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Andrew Roberts,USCA,AR-105104,31/08/2013,2013,CA-2012-112319,High,OFF-PA-10003441,West,Consumer,California,0,27.9936,58.3,7.98,86.3136
Toy machine skateboard,Classic Longboard Skateboard,Los Angeles,United States,Nathan Gelder,USCA,NG-184304,22/11/2013,2013,CA-2012-137708,High,OFF-PA-10000176,West,Consumer,California,0,18.2112,37.9,3.9,56.1512
Alien workshop,Downhill Longboard Skateboard,Los Angeles,United States,Nathan Gelder,USCA,NG-184304,22/11/2013,2013,CA-2012-137708,High,OFF-PA-10000327,West,Consumer,California,0,19.26,42.8,6.15,23.54
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,Kunst Miller,USCA,KM-167204,24/11/2013,2013,CA-2012-135545,Medium,OFF-PA-10003892,West,Consumer,California,0,68.9631,146.7,4.93,77.7669
Baker Skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Toby Swindell,USCA,TS-213404,24/11/2013,2013,CA-2012-153416,Medium,OFF-PA-10002005,West,Consumer,California,0,9.3312,19.4,1.68,10.1088
Girl skateboard,The Carve Skateboard,Los Angeles,United States,Darren Powers,USCA,DP-130004,24/11/2013,2013,CA-2012-105347,Medium,OFF-PA-10000675,West,Consumer,California,0,180.7659,368.9,6.98,549.6759
Element Skateboard,Classic Longboard Skateboard,Los Angeles,United States,Arianne Irving,USCA,AI-108554,20/12/2013,2013,CA-2012-158918,Medium,OFF-PA-10004947,West,Consumer,California,0,7.704,17.1,1.31,24.824
zero skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Clay Ludtke,USCA,CL-125654,30/12/2013,2013,CA-2012-135580,Medium,OFF-PA-10000595,West,Consumer,California,0,31.5192,68.5,6.36,37.0008
